query,response,count
我来了,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""1ccde3b4-d960-4bb4-bdae-06b994cc5b40"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 00:34:46.000"",""service_id"":""S52852""}}",90
滚蛋,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""e7c6dfc0-19f1-4e0a-bac5-dddb3cace8b3"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 00:07:37.000"",""service_id"":""S52852""}}",17
打开地图,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""32ed6cf7-61a8-4750-b084-51d452c0b226"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 00:03:22.000"",""service_id"":""S52852""}}",3
在吗,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""b58883d4-0fd5-4556-b4fa-eb1e2bbda398"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 00:17:28.000"",""service_id"":""S52852""}}",52
当然了,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""2eabe562-c58f-4eea-8eb2-1199ce209f3d"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 00:24:02.000"",""service_id"":""S52852""}}",1
会打架,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""98a59236-77cd-4796-b518-feca81fd00d4"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 00:14:32.000"",""service_id"":""S52852""}}",1
嗯,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""a13f027f-8c73-4321-8698-c3198a29c46b"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 00:21:02.000"",""service_id"":""S52852""}}",13
关闭电源,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""df61ef17-baef-48c8-be41-4aea8690a330"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 01:05:02.000"",""service_id"":""S52852""}}",30
观看,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""5b95c9f8-fb7c-4997-9b40-9524d9f95108"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 02:00:58.000"",""service_id"":""S52852""}}",5
啊,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""180df43a-8755-476c-818a-513227b0849c"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 00:22:06.000"",""service_id"":""S52852""}}",9
这么难,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""290a5132-74cd-49f1-8981-a0625ba5bc58"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 02:10:26.000"",""service_id"":""S52852""}}",1
没叫你死吧,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""7aeb4bb7-5ec3-4c07-b091-46f5725ba550"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 00:43:58.000"",""service_id"":""S52852""}}",1
谁,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""f5140ba9-8f6b-431e-b3bf-8277c48d2bcd"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 03:23:50.000"",""service_id"":""S52852""}}",1
哈看看都不敢穿那个不多今天才刚来,"{""error_code"":0,""error_msg"":""OK"",""result"":{""session_id"":""service-session-id-timeout-words"",""log_id"":""8ae66b50-75c4-4ef3-bd31-f9b45ccee1c6"",""response_list"":[{""msg"":""ok"",""qu_res"":{},""status"":0,""schema"":{""intent"":"""",""slu_tags"":[],""intent_confidence"":0.0,""slots"":[],""domain_confidence"":0.0},""action_list"":[{""refine_detail"":{},""custom_reply"":""{\""reply\"":[{\""type\"":\""tts\"",\""value\"":\""抱歉，这个我还不会\""}]}"",""type"":""failure"",""confidence"":100.0,""action_id"":""fail_action"",""say"":""抱歉，这个我还不会""}],""origin"":""-1""}],""interaction_id"":"""",""dialog_state"":{},""version"":""2.0"",""timestamp"":""2024-06-01 01:47:28.000"",""service_id"":""S52852""}}",1
减小风速,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""down"",""mod"":""hood"",""property"":""gear"",""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",27
关机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""integrated_stove"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",581
烟机打开,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""on"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",11
在呢关机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""integrated_stove"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",9
关闭风机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",50
打开照明,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""on"",""mod"":""light"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",176
打开风机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""on"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",51
早餐烟机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""on"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",1
关闭燃气灶,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",4
发照照明,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""on"",""mod"":""light"",""property"":null,""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",1
打开蒸烤箱,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""start"",""mod"":""steam_oven"",""property"":null,""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",3
关闭灯光,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""light"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",18
关机关机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""integrated_stove"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",20
最大风速,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""hood"",""property"":""gear"",""property_unit"":null,""property_value"":[""3""],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",2
关掉烟机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",21
关闭烤箱,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""stop"",""mod"":""steam_oven"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",4
开机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""on"",""mod"":""integrated_stove"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",30
关烟机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",9
增大风速,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""up"",""mod"":""hood"",""property"":""gear"",""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",13
降低风速,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""down"",""mod"":""hood"",""property"":""gear"",""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",16
声音小一点,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""down"",""mod"":""integrated_stove"",""property"":""sound_volume"",""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",3
关闭照明,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""light"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",57
关闭集成灶,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""integrated_stove"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",78
关闭抽油烟机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",15
关闭油烟机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",193
