query	domain	intent	slots
来我这打扫	narwal_clean_function	come_here_clean	[]
擦一下过道	narwal_clean_function	start_mop	"[[""location"", 3, 5]]"
扫地	narwal_clean_function	start_sweep	[]
这边扫一下	narwal_clean_function	come_here_sweep	[]
吸力调到最大	narwal_parameter_control	set_air_suction	"[[""gear"", 4, 6]]"
清扫地毯	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
到这里来嘛	narwal_clean_function	come_here	[]
到扫房间二	narwal_clean_function	start_sweep	"[[""location"", 2, 5]]"
这儿别扫了	narwal_clean_function	stop_sweep	[]
你有多少电了	narwal_other_function	info_elec_status	[]
直接拖餐厅区域	narwal_clean_function	start_mop	"[[""location"", 3, 7]]"
停止当前任务去打扫厨	narwal_clean_function	stop_clean	"[[""location"", 9, 10]]"
出舱	narwal_other_function	start_exit_duck	[]
停止充电	narwal_other_function	stop_back_station	[]
往前走一米	narwal_clean_function	move	[]
擦一下卧	narwal_clean_function	start_mop	"[[""location"", 3, 4]]"
降低吸力	narwal_parameter_control	down_suction	[]
回到舱	narwal_other_function	start_back_station	[]
拖一下卫生间	narwal_clean_function	start_mop	"[[""location"", 3, 6]]"
打扫餐厅和厨房	narwal_clean_function	start_clean	[]
扫拖主卧	narwal_clean_function	start_sweep_and_mop	"[[""location"", 2, 4]]"
解除异常	narwal_other_function	info_error_status	[]
打扫全屋	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
往前走	narwal_clean_function	move	[]
你就扫这一块区域就行了	narwal_clean_function	stop_sweep	[]
到餐桌下	narwal_clean_function	move	[]
直接拖	narwal_clean_function	start_mop	[]
请打扫全屋卫生	narwal_clean_function	start_clean	"[[""location"", 3, 5]]"
结束工作召回基站	narwal_other_function	start_back_station	[]
打扫下次卧	narwal_clean_function	start_clean	"[[""location"", 3, 5]]"
把地用最大吸力扫一遍	narwal_clean_function	start_sweep	"[[""frequency"", 8, 9], [""suction"", 3, 5]]"
出来客厅	narwal_clean_function	move	"[[""location"", 2, 4]]"
过来这里	narwal_clean_function	come_here	[]
把阳台扫一下	narwal_clean_function	start_sweep	"[[""location"", 1, 3]]"
到我这里来扫地	narwal_clean_function	come_here_sweep	[]
在干嘛	narwal_other_function	info_action_status	[]
你过来一下	narwal_clean_function	come_here	[]
暂停返回	narwal_other_function	pause_back_station	[]
打扫一下餐厅	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
自动集尘	narwal_other_function	start_collect_dust	[]
请开始集尘	narwal_other_function	start_collect_dust	[]
嗯开始清扫	narwal_clean_function	start_clean	[]
过来一下主卧	narwal_clean_function	move	"[[""location"", 4, 6]]"
打扫卧室	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
充电到多少了	narwal_other_function	info_elec_status	[]
你回去吧	narwal_other_function	start_back_station	[]
出基站	narwal_other_function	start_exit_duck	[]
强烈集尘	narwal_other_function	start_collect_dust	[]
进入基站	narwal_other_function	start_back_station	[]
全屋扫地	narwal_clean_function	start_sweep	"[[""location"", 0, 2]]"
开始打扫卫生	narwal_clean_function	start_clean	[]
把餐桌这边拖一下	narwal_clean_function	start_mop	"[[""location"", 1, 3]]"
你在干什么	narwal_other_function	info_action_status	[]
过来这边打扫过来这边打扫	narwal_clean_function	come_here_clean	[]
出来一下客厅	narwal_clean_function	move	"[[""location"", 4, 6]]"
去拖一下卫生间一	narwal_clean_function	start_mop	"[[""location"", 4, 8]]"
我在客厅你过来一下	narwal_clean_function	move	[]
开始绘图	narwal_other_function	start_generate_map	[]
你还有多少电	narwal_other_function	info_elec_status	[]
对来基站旁边	narwal_clean_function	come_here	[]
到我这来	narwal_clean_function	come_here	[]
打扫餐厅厨房走道二	narwal_clean_function	start_clean	"[[""location"", 2, 9]]"
嗯扫全屋扫地	narwal_clean_function	start_sweep	"[[""location"", 2, 4]]"
拖一下书房	narwal_clean_function	start_mop	"[[""location"", 3, 5]]"
开始清洁这里	narwal_clean_function	come_here_clean	[]
到我这边再拖一下	narwal_clean_function	come_here_mop	[]
来我这里	narwal_clean_function	come_here	[]
继续扫地	narwal_clean_function	continue_sweep	[]
来我这	narwal_clean_function	come_here	[]
全屋清扫	narwal_clean_function	start_clean	"[[""location"", 0, 2]]"
开始清扫开始扫	narwal_clean_function	start_clean	[]
把厨房和客厅打扫一遍	narwal_clean_function	start_clean	"[[""frequency"", 8, 9]]"
扫拖客厅	narwal_clean_function	start_sweep_and_mop	"[[""location"", 2, 4]]"
可以回去基站了	narwal_other_function	start_back_station	[]
来我这边拖一下	narwal_clean_function	come_here_mop	[]
来我这里来吧	narwal_clean_function	come_here	[]
过来这边打扫	narwal_clean_function	come_here_clean	[]
到我这里扫一下	narwal_clean_function	come_here_sweep	[]
过来卧室	narwal_clean_function	move	"[[""location"", 2, 4]]"
把我这里扫一扫	narwal_clean_function	come_here_sweep	[]
停止打扫	narwal_clean_function	stop_clean	[]
厨房扫拖同时	narwal_clean_function	start_sweep_and_mop	"[[""location"", 0, 2]]"
回去基站	narwal_other_function	start_back_station	[]
扫一下	narwal_clean_function	start_sweep	[]
来我这里清洗	narwal_clean_function	come_here_clean	[]
把卫生间打扫一下	narwal_clean_function	start_clean	"[[""location"", 1, 4]]"
打扫这里	narwal_clean_function	come_here_clean	[]
打扫房间	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
来我这里清理	narwal_clean_function	come_here_clean	[]
过来这边过来这边	narwal_clean_function	come_here	[]
来这里过来这边打扫过来这边打扫	narwal_clean_function	come_here_clean	[]
这里来这里	narwal_clean_function	come_here	[]
过来我这这里扫	narwal_clean_function	come_here_sweep	[]
到这来	narwal_clean_function	come_here	[]
清洁全屋	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
不用扫这里就可以了	narwal_clean_function	stop_sweep	[]
打扫儿童房	narwal_clean_function	start_clean	"[[""location"", 2, 5]]"
回基站回基站	narwal_other_function	start_back_station	[]
回去回去不用扫了扫干净了	narwal_clean_function	start_sweep	[]
去厨房扫拖	narwal_clean_function	start_sweep_and_mop	"[[""location"", 1, 3]]"
请拖走廊和客厅	narwal_clean_function	start_mop	[]
结束召回基站	narwal_other_function	stop_back_station	[]
打扫卫生间	narwal_clean_function	start_clean	"[[""location"", 2, 5]]"
晚上回回家	narwal_other_function	start_back_station	[]
扫拖同时	narwal_clean_function	start_sweep_and_mop	[]
向前一米	narwal_clean_function	move	[]
来我这边再拖一下	narwal_clean_function	come_here_mop	[]
清理客厅	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
请继续打扫	narwal_clean_function	continue_clean	[]
到我这来清洁	narwal_clean_function	come_here_clean	[]
来我这里拖一下	narwal_clean_function	come_here_mop	[]
来我这边拖一下地	narwal_clean_function	come_here_mop	[]
现在开始清理	narwal_clean_function	start_clean	[]
出去返回基站返回基站	narwal_other_function	start_back_station	[]
hello Navo回到基站	narwal_other_function	start_back_station	[]
重新清洁客厅	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
扫地客厅	narwal_clean_function	start_sweep	"[[""location"", 2, 4]]"
客厅拖地	narwal_clean_function	start_mop	"[[""location"", 0, 2]]"
打扫房打扫卫生	narwal_clean_function	start_clean	"[[""location"", 2, 3]]"
结束任务回基站	narwal_other_function	start_back_station	[]
扫一下地毯	narwal_clean_function	start_sweep	"[[""location"", 3, 5]]"
去客厅打扫地毯	narwal_clean_function	start_clean	"[[""location"", 5, 7]]"
充电	narwal_other_function	start_back_station	[]
自清洁	narwal_clean_function	start_clean	[]
继续清扫我这里	narwal_clean_function	come_here_clean	[]
扫地入户地区	narwal_clean_function	start_sweep	"[[""location"", 2, 6]]"
滚回基站去	narwal_other_function	start_back_station	[]
过来我这里拖地	narwal_clean_function	come_here_mop	[]
过来拖这里	narwal_clean_function	come_here_mop	[]
出来了	narwal_other_function	start_exit_duck	[]
回到起始点	narwal_other_function	start_back_station	[]
来我这里拖地	narwal_clean_function	come_here_mop	[]
过来这里拖地	narwal_clean_function	come_here_mop	[]
返回驾驶舱	narwal_other_function	start_back_station	[]
重新打扫遍我的阳台	narwal_clean_function	start_clean	"[[""location"", 7, 9]]"
清洗厨房	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
把客卫拖一下	narwal_clean_function	start_mop	"[[""location"", 1, 3]]"
来这拖一下	narwal_clean_function	come_here_mop	[]
集尘	narwal_other_function	start_collect_dust	[]
来我这扫一下	narwal_clean_function	come_here_sweep	[]
扫一下冰箱前	narwal_clean_function	start_sweep	[]
机器人出舱	narwal_other_function	start_exit_duck	[]
过来我这边	narwal_clean_function	come_here	[]
扫地吧	narwal_clean_function	start_sweep	[]
到厨房来打扫	narwal_clean_function	start_clean	"[[""location"", 1, 3]]"
清理厨房	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
去卫生间二	narwal_clean_function	move	"[[""location"", 1, 5]]"
来清扫我的位置	narwal_clean_function	come_here_clean	[]
把走廊拖一下	narwal_clean_function	start_mop	"[[""location"", 1, 3]]"
打扫下我阳台	narwal_clean_function	start_clean	"[[""location"", 3, 6]]"
重新打扫一遍我的阳台	narwal_clean_function	start_clean	"[[""frequency"", 4, 5], [""location"", 6, 10]]"
来我这吸尘	narwal_other_function	start_collect_dust	[]
你还有多多长时间烘干完毕	narwal_other_function	info_todo_time	[]
回去	narwal_other_function	start_back_station	[]
还有多久烘干完毕	narwal_other_function	info_todo_time	[]
报告一下你今天的工作	narwal_schedule_management	view_schedule	"[[""time"", 5, 7]]"
到我跟前来	narwal_clean_function	come_here	[]
请来我这里扫一下	narwal_clean_function	come_here_sweep	[]
清洗次卧	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
清洁餐桌	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
去把主卧拖一下	narwal_clean_function	start_mop	"[[""location"", 2, 4]]"
清洁附近	narwal_clean_function	start_clean	[]
到我这里	narwal_clean_function	come_here	[]
把这里脏的东西清理掉	narwal_clean_function	come_here_clean	[]
到我这边来打扫	narwal_clean_function	come_here_clean	[]
来拖扫一下这里	narwal_clean_function	come_here_sweep_and_mop	[]
开始全屋洗拖	narwal_clean_function	start_mop	"[[""location"", 2, 4]]"
去窗边	narwal_clean_function	move	"[[""location"", 1, 3]]"
开始清洁吧	narwal_clean_function	start_clean	[]
更新建图	narwal_other_function	start_generate_map	[]
清理主卧	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
开始清理	narwal_clean_function	start_clean	[]
开始先拖后	narwal_clean_function	start_mop	[]
回基地	narwal_other_function	start_back_station	[]
你后面这里清理一下回去	narwal_clean_function	start_clean	[]
开止打扫	narwal_clean_function	stop_clean	[]
你怎么不清	narwal_clean_function	start_clean	[]
添加副图	narwal_other_function	start_generate_map	[]
去打扫过道	narwal_clean_function	start_clean	"[[""location"", 3, 5]]"
Navo开始拖地	narwal_clean_function	start_mop	[]
扫一下厨房	narwal_clean_function	start_sweep	"[[""location"", 3, 5]]"
你的水箱里还有水吗	narwal_other_function	info_consumable	"[[""consumable"", 2, 4]]"
你的电充满了吗	narwal_other_function	info_elec_status	[]
你的清水箱里水还够吗	narwal_other_function	info_consumable	"[[""consumable"", 2, 5], [""consumable"", 3, 4]]"
开始集尘	narwal_other_function	start_collect_dust	[]
打扫并拖地	narwal_clean_function	start_mop	[]
来我这清洁一下	narwal_clean_function	come_here_clean	[]
重新打扫一遍房间一	narwal_clean_function	start_clean	"[[""frequency"", 4, 5], [""location"", 6, 8]]"
现在就清洁	narwal_clean_function	start_clean	[]
洗拖次卧	narwal_clean_function	start_mop	"[[""location"", 2, 4]]"
请到我这里扫一下	narwal_clean_function	come_here_sweep	[]
厨房清洁	narwal_clean_function	start_clean	"[[""location"", 0, 2]]"
这里有脏的东西	narwal_clean_function	come_here_clean	[]
过来这边扫下地	narwal_clean_function	come_here_sweep	[]
充电了吗	narwal_other_function	info_elec_status	[]
变吸地	narwal_clean_function	start_sweep	[]
来拖扫一下卧室	narwal_clean_function	start_sweep_and_mop	"[[""location"", 5, 7]]"
帮忙清理一下次卫生间不需要谢谢	narwal_clean_function	start_clean	"[[""location"", 6, 10]]"
全屋清洁	narwal_clean_function	start_clean	"[[""location"", 0, 2]]"
去把洗漱台打扫一下	narwal_clean_function	start_clean	"[[""location"", 2, 5]]"
把这一块扫一下	narwal_clean_function	come_here_sweep	[]
去打扫一下卫生间	narwal_clean_function	start_clean	"[[""location"", 5, 8]]"
打扫一下过道	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
把这里扫一下	narwal_clean_function	come_here_sweep	[]
返回基站停止打扫	narwal_clean_function	stop_clean	[]
来这里一下	narwal_clean_function	come_here	[]
开始全屋清洁	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
清洁走廊	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
烘干烘干拖布	narwal_other_function	start_drying	[]
按顺序拖一下阳台	narwal_clean_function	start_mop	"[[""location"", 6, 8]]"
到我跟前拖一下	narwal_clean_function	come_here_mop	[]
o厨房清洁	narwal_clean_function	start_clean	"[[""location"", 1, 3]]"
开始执行洗拖任务	narwal_clean_function	start_mop	[]
关闭扫地	narwal_clean_function	stop_sweep	[]
开始扫拖	narwal_clean_function	start_sweep_and_mop	[]
清洁	narwal_clean_function	start_clean	[]
继续充电	narwal_other_function	continue_back_station	[]
往回走	narwal_clean_function	move	[]
把卧室的地打扫一下	narwal_clean_function	start_clean	"[[""location"", 1, 3]]"
来打扫主卧	narwal_clean_function	start_clean	"[[""location"", 3, 5]]"
打扫全屋需要多少时间	narwal_other_function	info_elec_status	[]
沿着地毯边缘拖一下	narwal_clean_function	start_mop	[]
你还有多少电量	narwal_other_function	info_elec_status	[]
回舱	narwal_other_function	start_back_station	[]
干拖卫生间	narwal_clean_function	start_mop	"[[""location"", 2, 5]]"
拖一下阳台	narwal_clean_function	start_mop	"[[""location"", 3, 5]]"
重新建地图	narwal_other_function	start_generate_map	[]
打扫一下阳台	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
重新构图	narwal_other_function	start_generate_map	[]
过来拖把水拖了	narwal_clean_function	start_mop	"[[""location"", 2, 4]]"
是的重新建图	narwal_other_function	start_generate_map	[]
开始构图	narwal_other_function	start_generate_map	[]
现在多少电量	narwal_other_function	info_elec_status	[]
到卧室	narwal_clean_function	move	"[[""location"", 1, 3]]"
往上	narwal_clean_function	move	[]
重建地图	narwal_other_function	start_generate_map	[]
开始洗拖	narwal_clean_function	start_mop	[]
返回基地	narwal_other_function	start_back_station	[]
开始执行洗拖	narwal_clean_function	start_mop	[]
拖一下厨房	narwal_clean_function	start_mop	"[[""location"", 3, 5]]"
来这里清扫	narwal_clean_function	come_here_clean	[]
回到原位	narwal_other_function	start_back_station	[]
基站清洁一下	narwal_clean_function	start_clean	"[[""location"", 0, 2]]"
清洁一下基站	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
把我这里扫拖一下	narwal_clean_function	come_here_sweep_and_mop	[]
烘干拖布需要多长时间	narwal_other_function	info_todo_time	[]
扫拖一下卫生间	narwal_clean_function	start_sweep_and_mop	"[[""location"", 4, 7]]"
你在干啥啊	narwal_other_function	info_action_status	[]
机机器人出来清扫	narwal_clean_function	start_clean	[]
打扫一下餐厅还有厨房	narwal_clean_function	start_clean	[]
结束当前任务回到基站	narwal_other_function	start_back_station	[]
请到客厅打扫	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
请你跑到客厅去	narwal_clean_function	move	"[[""location"", 4, 6]]"
连着地毯边缘拖一下	narwal_clean_function	start_mop	[]
那个破鞋子用力拖地	narwal_clean_function	start_mop	[]
把卧室的地扫一下	narwal_clean_function	start_sweep	"[[""location"", 1, 3]]"
