query,intent
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清扫南阳台,"['set_air_suction', 'start_clean']"
强力清扫阳台,"['set_air_suction', 'start_clean']"
强力清扫北阳台,"['set_air_suction', 'start_clean']"
强力清扫北阳台,"['set_air_suction', 'start_clean']"
强力清扫北阳台,"['set_air_suction', 'start_clean']"
切换到强力扫拖模式,"['set_air_suction', 'start_sweep_and_mop']"
开始扫地模式强力扫,"['set_air_suction', 'start_sweep']"
强力清洁厨房,"['set_air_suction', 'start_clean']"
强力清洁厨房,"['set_air_suction', 'start_clean']"
强力扫拖模式,"['set_air_suction', 'start_sweep_and_mop']"
强力扫拖模式,"['set_air_suction', 'start_sweep_and_mop']"
强力扫拖模式打扫全屋,"['set_air_suction', 'start_clean']"
强力打扫卫生,"['set_air_suction', 'start_clean']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力扫客厅,"['set_air_suction', 'start_sweep']"
打开强力清洁,"['set_air_suction', 'start_clean']"
主卧强力扫地,"['set_air_suction', 'start_sweep']"
开启强力清扫,"['set_air_suction', 'start_clean']"
强力扫地主卧,"['set_air_suction', 'start_sweep']"
强力扫地客厅,"['set_air_suction', 'start_sweep']"
客厅强力扫地,"['set_air_suction', 'start_sweep']"
强力打扫主卧,"['set_air_suction', 'start_clean']"
主卧强力拖地,"['set_air_suction', 'start_mop']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力清洁中,"['set_air_suction', 'start_clean']"
调整吸力和出水量至标准,"['up_suction', 'set_water_volume']"
强力拖地,"['set_air_suction', 'start_mop']"
主卧强力扫地,"['set_air_suction', 'start_sweep']"
强力打扫主卧,"['set_air_suction', 'start_clean']"
变为强力吸扫模式,"['set_air_suction', 'start_sweep']"
强力扫阳台,"['set_air_suction', 'start_sweep']"
开始全屋强力扫地,"['set_air_suction', 'start_sweep']"
厨房强力扫地,"['set_air_suction', 'start_sweep']"
厨房强力扫地,"['set_air_suction', 'start_sweep']"
开启强力扫地模式,"['set_air_suction', 'start_sweep']"
开始强力清洁,"['set_air_suction', 'start_clean']"
来我这里强力扫地加拖地,"['set_air_suction', 'start_sweep_and_mop']"
强力扫地加拖地,"['set_air_suction', 'start_sweep_and_mop']"
客厅强力扫地,"['set_air_suction', 'start_sweep']"
强力拖扫厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力清洁厨房,"['set_air_suction', 'start_clean']"
主卧强力扫地,"['set_air_suction', 'start_sweep']"
主卧强力扫地,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
强力清洗全屋,"['set_air_suction', 'start_clean']"
主卧强力扫地,"['set_air_suction', 'start_sweep']"
强力清扫模式,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力吸阳台,"['set_air_suction', 'start_sweep']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
强力清洁主卧和走廊,"['set_air_suction', 'start_clean']"
全屋强力扫地,"['set_air_suction', 'start_sweep']"
打扫卫生强力打扫,"['set_air_suction', 'start_clean']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
把厨房再强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
把厨房强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
把主卧强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
把次卧强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
把次卧强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
把走廊强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫扫地模式,"['set_air_suction', 'start_clean']"
强力吸尘客厅,"['set_air_suction', 'start_sweep']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
请强力清扫客厅,"['set_air_suction', 'start_clean']"
请强力清扫客厅,"['set_air_suction', 'start_clean']"
用强力清扫,"['set_air_suction', 'start_clean']"
全屋强力扫,"['set_air_suction', 'start_sweep']"
强力扫地餐厅,"['set_air_suction', 'start_sweep']"
强力清扫模式,"['set_air_suction', 'start_clean']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力扫地出来扫地,"['set_air_suction', 'start_sweep']"
强力扫地出来扫地扫,"['set_air_suction', 'start_sweep']"
强力清洁客厅,"['set_air_suction', 'start_clean']"
开启强力扫地,"['set_air_suction', 'start_sweep']"
全屋强力清扫两遍,"['set_air_suction', 'start_clean']"
强力清洁模式,"['set_air_suction', 'start_clean']"
次卧强力拖洗两遍,"['set_air_suction', 'start_mop']"
强力拖扫地,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地厨房,"['set_air_suction', 'start_mop']"
开启强力清扫,"['set_air_suction', 'start_clean']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
强力打扫一下客厅,"['set_air_suction', 'start_clean']"
开启强力清扫,"['set_air_suction', 'start_clean']"
开始进行强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
开启强力清扫,"['set_air_suction', 'start_clean']"
强力打扫西南卧室跟阳台,"['set_air_suction', 'start_clean']"
强力拖阳台,"['set_air_suction', 'start_mop']"
全屋强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
全屋强力清扫,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力清洗地板,"['set_air_suction', 'start_clean']"
强力清扫主卧,"['set_air_suction', 'start_clean']"
客厅强力扫地,"['set_air_suction', 'start_sweep']"
强力扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
全屋强力吸尘,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖扫全屋,"['set_air_suction', 'start_sweep_and_mop']"
强力扫地开始,"['set_air_suction', 'start_sweep']"
强力清洁客厅,"['set_air_suction', 'start_clean']"
强力清洁客厅,"['set_air_suction', 'start_clean']"
强力清扫书房,"['set_air_suction', 'start_clean']"
强力清扫书房,"['set_air_suction', 'start_clean']"
强力拖地扫地,"['set_air_suction', 'start_sweep']"
强力扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力扫拖主卧,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫内卫,"['set_air_suction', 'start_clean']"
强力清洁全屋,"['set_air_suction', 'start_clean']"
请强力扫地任务,"['set_air_suction', 'start_sweep']"
把厨房强力拖一遍,"['set_air_suction', 'start_mop']"
阳台强力扫地,"['set_air_suction', 'start_sweep']"
强力吸尘客厅,"['set_air_suction', 'start_sweep']"
强力打扫卫生,"['set_air_suction', 'start_clean']"
强力清扫卫生间,"['set_air_suction', 'start_clean']"
强力清扫卫生间,"['set_air_suction', 'start_clean']"
强力打扫客厅,"['set_air_suction', 'start_clean']"
强力清扫呃,"['set_air_suction', 'start_clean']"
强力清洁全屋,"['set_air_suction', 'start_clean']"
全屋强力清扫,"['set_air_suction', 'start_clean']"
强力打扫餐厅,"['set_air_suction', 'start_clean']"
强力强力打扫客厅,"['set_air_suction', 'start_clean']"
强力扫地两次,"['set_air_suction', 'start_sweep']"
把走廊强力扫拖一下,"['set_air_suction', 'start_sweep_and_mop']"
把厨房强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫全家,"['set_air_suction', 'start_clean']"
把厨房强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
把客厅强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
强力扫地客厅,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫拖桌,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫拖卧室,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
全屋强力洗拖,"['set_air_suction', 'start_mop']"
全屋强力拖,"['start_mop', 'start_mop']"
强力打扫一下餐厅和客厅,"['set_air_suction', 'start_clean']"
切换成扫地模式强力清扫,"['set_air_suction', 'start_clean']"
进行全屋强力清洁,"['set_air_suction', 'start_clean']"
开启强力清扫先把屋子扫两遍,"['set_air_suction', 'start_sweep']"
强力扫地扫全屋,"['set_air_suction', 'start_sweep']"
强力扫拖客厅,"['set_air_suction', 'start_sweep_and_mop']"
强力拖洗该区域,"['set_air_suction', 'start_mop']"
强力清洁模式,"['set_air_suction', 'start_clean']"
还有普通屋标准的地方你扫地扫地,"['set_air_suction', 'start_sweep']"
强力扫拖客厅,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力打扫客厅和厨房,"['set_air_suction', 'start_clean']"
强力扫地客厅和厨房,"['set_air_suction', 'start_sweep']"
强力拖扫全屋,"['set_air_suction', 'start_sweep_and_mop']"
强力清洁厨房,"['set_air_suction', 'start_clean']"
强力拖地客卧,"['set_air_suction', 'start_mop']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地主卧,"['set_air_suction', 'start_mop']"
厨房强力清洁,"['set_air_suction', 'start_clean']"
把厨房强力拖一遍,"['set_air_suction', 'start_mop']"
用强力扫地模式扫客厅,"['set_air_suction', 'start_sweep']"
开启强力扫地,"['set_air_suction', 'start_sweep']"
开启强力扫扫,"['set_air_suction', 'start_sweep']"
强力拖一下厨房,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
用强力扫地,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
全屋强力清扫,"['set_air_suction', 'start_clean']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
厨房用强力清扫模式,"['set_air_suction', 'start_clean']"
强力扫一下客厅,"['set_air_suction', 'start_sweep']"
强力清扫地出来扫地,"['set_air_suction', 'start_sweep']"
把家里强力扫一扫,"['set_air_suction', 'start_sweep']"
主卧强力扫地,"['set_air_suction', 'start_sweep']"
把厨房强力拖一遍,"['set_air_suction', 'start_mop']"
强力清洁厨房三遍,"['set_air_suction', 'start_clean']"
把厨房强力扫一遍,"['set_air_suction', 'start_sweep']"
强力清洁全屋,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力拖主卧,"['set_air_suction', 'start_mop']"
强力清扫主卧,"['set_air_suction', 'start_clean']"
强力清洁模式,"['set_air_suction', 'start_clean']"
去强力去清洁那厨房,"['set_air_suction', 'start_clean']"
强力拖那个清清洁厨房,"['set_air_suction', 'start_clean']"
强力吸地吸地拖地拖厨房,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
标准吸力扫客厅拖卧,"['set_air_suction', 'start_sweep', 'start_mop']"
标准吸力扫客厅拖,"['set_air_suction', 'start_sweep']"
标准吸力扫客厅,"['set_air_suction', 'start_sweep']"
标准吸力扫客厅拖卧室,"['set_air_suction', 'start_sweep', 'start_mop']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力打扫主卧,"['set_air_suction', 'start_clean']"
强力拖扫,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫书房,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清扫书房,"['set_air_suction', 'start_clean']"
先强力扫地全屋,"['set_air_suction', 'start_sweep']"
厨房没扫干净强力清扫,"['set_air_suction', 'start_clean']"
强力拖地精细拖地,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫主卧,"['set_air_suction', 'start_sweep']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力拖扫客厅和厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫地毯,"['set_air_suction', 'start_clean']"
强力扫拖次卧,"['set_air_suction', 'start_sweep_and_mop']"
强力打扫地毯,"['set_air_suction', 'start_clean']"
请强力清扫客厅,"['set_air_suction', 'start_clean']"
强力清扫主卧,"['set_air_suction', 'start_clean']"
强力清强力扫一下客厅,"['set_air_suction', 'start_sweep']"
全屋强力拖地,"['set_air_suction', 'start_mop']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力吸吸尘,"['set_air_suction', 'start_sweep']"
强力清扫餐厅,"['set_air_suction', 'start_clean']"
强力清扫餐厅,"['set_air_suction', 'start_clean']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力清洁厨房,"['set_air_suction', 'start_clean']"
强力拖一下阳台,"['set_air_suction', 'start_mop']"
开始全屋强力扫地,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫拖阳台,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫全屋并拖地,"['set_air_suction', 'start_mop']"
强力扫地开始,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力打扫当前区域,"['set_air_suction', 'start_clean']"
开始对主卧强力清扫,"['set_air_suction', 'start_clean']"
开始对卧室强力清扫,"['set_air_suction', 'start_clean']"
请强力拖地,"['set_air_suction', 'start_mop']"
请强力拖扫,"['set_air_suction', 'start_sweep_and_mop']"
强力拖,"['set_air_suction', 'start_mop']"
请扫地请强力扫地,"['set_air_suction', 'start_sweep']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
扫地强力扫地,"['set_air_suction', 'start_sweep']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
开始强力扫拖地面,"['set_air_suction', 'start_sweep_and_mop']"
强力打扫客厅,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
把厨房强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
把客厅强力清扫一下,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫厨房,"['set_air_suction', 'start_sweep']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
去厨房强力扫地,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
把厨房强力拖一遍,"['set_air_suction', 'start_mop']"
清扫一遍大厅强力清扫一遍大厅,"['start_clean', 'set_air_suction', 'start_clean']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力清扫地面,"['set_air_suction', 'start_clean']"
强力扫地任务,"['set_air_suction', 'start_sweep']"
强力拖扫模式,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
去餐厅开启强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
吸力调至标准擦地强度调至标准,"['set_air_suction', 'set_air_suction']"
请强力拖扫,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
对客厅区域进行强力拖地,"['start_mop', 'start_mop']"
强力拖地客厅区域,"['set_air_suction', 'start_mop']"
强力清洁客厅,"['set_air_suction', 'start_clean']"
强力清洁客厅,"['set_air_suction', 'start_clean']"
强力扫客厅,"['set_air_suction', 'start_sweep']"
强力扫客厅,"['set_air_suction', 'start_sweep']"
强力扫地主卧,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫一下客厅,"['set_air_suction', 'start_sweep']"
强力拖客厅,"['set_air_suction', 'start_mop']"
到主卧去强力扫,"['set_air_suction', 'start_sweep']"
强力清洁阳台,"['set_air_suction', 'start_clean']"
强力打扫全屋,"['set_air_suction', 'start_clean']"
强力吸尘客厅,"['set_air_suction', 'start_sweep']"
强力打扫卫生,"['set_air_suction', 'start_clean']"
到主卧去强力拖,"['start_mop', 'start_mop']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力拖,"['set_air_suction', 'start_mop']"
强力扫玩具房,"['set_air_suction', 'start_sweep']"
强力扫一下玩具,"['set_air_suction', 'start_sweep']"
强力吸餐厅和玄关,"['set_air_suction', 'start_sweep']"
吸强力吸厨房,"['set_air_suction', 'start_sweep']"
强力扫一下厨房和玄关,"['set_air_suction', 'start_sweep']"
强力打扫地毯,"['set_air_suction', 'start_clean']"
强力扫拖客厅,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫客厅和餐厅,"['set_air_suction', 'start_clean']"
强力清扫客厅和餐厅,"['set_air_suction', 'start_clean']"
强力模式进行扫拖,"['set_air_suction', 'start_sweep_and_mop']"
开始全屋强力吸尘,"['set_air_suction', 'start_sweep']"
全屋强力打扫,"['set_air_suction', 'start_clean']"
强力拖客厅,"['set_air_suction', 'start_mop']"
开始强力清拖,"['set_air_suction', 'start_sweep_and_mop']"
把厨房强力扫拖一下,"['set_air_suction', 'start_sweep_and_mop']"
开始强力清洁,"['set_air_suction', 'start_clean']"
把厨房强力打扫一下,"['set_air_suction', 'start_clean']"
强力清洁全屋,"['set_air_suction', 'start_clean']"
强力打扫客厅,"['set_air_suction', 'start_clean']"
强力扫拖客厅,"['set_air_suction', 'start_sweep_and_mop']"
嗯强力扫地,"['set_air_suction', 'start_sweep']"
全屋强力吸地,"['set_air_suction', 'start_sweep']"
强力吸这块地毯,"['set_air_suction', 'start_sweep']"
全屋强力扫地,"['set_air_suction', 'start_sweep']"
开始强力扫全屋,"['set_air_suction', 'start_sweep']"
请强力清洗客厅,"['set_air_suction', 'start_clean']"
请强力清洗餐厅,"['set_air_suction', 'start_clean']"
请强力清洗餐厅和客厅,"['set_air_suction', 'start_clean']"
强力扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
请强力清扫餐厅,"['set_air_suction', 'start_clean']"
强力清洁厨房和餐厅,"['set_air_suction', 'start_clean']"
主卧强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
标准吸力扫客厅拖卧室,"['set_air_suction', 'start_sweep', 'start_mop']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力吸扫,"['set_air_suction', 'start_sweep']"
电竞房强力清扫两遍,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力扫客厅区域,"['set_air_suction', 'start_sweep']"
强力扫地主卧,"['set_air_suction', 'start_sweep']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
主卧强力扫地,"['set_air_suction', 'start_sweep']"
强力模式吸尘,"['set_air_suction', 'start_sweep']"
吸力变主卧强力吸主卧,"['set_air_suction', 'start_sweep']"
强力拖,"['set_air_suction', 'start_mop']"
嗯强力清洁主卧,"['set_air_suction', 'start_clean']"
客厅强力扫地,"['set_air_suction', 'start_sweep']"
先强力清扫,"['set_air_suction', 'start_clean']"
强力嗯强力清扫主卧,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖书房两次地,"['set_air_suction', 'start_mop']"
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
厨房有面粉要强力清洁,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
厨房强力扫地,"['set_air_suction', 'start_sweep']"
强力扫地阳台,"['set_air_suction', 'start_sweep']"
吸力静静啲普通话要标准啲,"['set_air_suction', 'set_air_suction']"
把厨房强力扫地一下,"['set_air_suction', 'start_sweep']"
